Yurt Adı	Şehir	İlçe	Tür	Kapasite
ÖZEL ALTINBAŞ ÜNİVERSİTESİ YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İstanbul	Bağcılar	Kız	372 kişilik
ÖZEL ALTIN HALİÇ YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İstanbul	Kağıthane	Kız	230 kişilik
ÖZEL ALTINIŞIK YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	191 kişilik
ÖZEL ALTIN KALEM YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Karabük	Karabük/Merkez	Erkek	2422 kişilik
ÖZEL ALTIN KALEM YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Karabük	Karabük/Merkez	Kız	774 kişilik
ÖZEL ALTINOLUK METHİYE DUMLU YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Afyonkarahisar	Afyonkarahisar/Merkez	Erkek	141 kişilik
ÖZEL ALTINOVA YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ APARTI	Tekirdağ	Süleymanpaşa	Erkek	17 kişilik
ÖZEL ALTINSARAY YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	İzmir	Buca	Erkek	47 kişilik
ÖZEL ALYA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Antalya	Konyaaltı	Kız	124 kişilik
ÖZEL AMASYA AKADEMİK YÜKSEKÖĞRETİM KIZ ÖĞRENCİ APARTLARI	Amasya	Amasya/Merkez	Kız	84 kişilik
özel Amasya Rana yükseköğrenim kız öğrenci yurdu	Amasya	Amasya/Merkez	Kız	155 kişilik
ÖZEL ANADOLU 1 YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Beşiktaş	Erkek	80 kişilik
ÖZEL ANADOLU GENÇLİK ARİFAN BOSNA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Konya	Selçuklu	Erkek	199 kişilik
ÖZEL ANADOLU GENÇLİK İSMAİL AKIN YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Antalya	Kepez	Erkek	101 kişilik
ÖZEL ANADOLU GENÇLİK YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İzmir	Bornova	Erkek	60 kişilik
Özel Anadolu Yükseköğrenim Kız Apartları	Kütahya	Kütahya/Merkez	Kız	60 kişilik
ÖZEL ANEMON YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Manisa	Şehzadeler	Kız	245 kişilik
ÖZEL ANGORA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	165 kişilik
ÖZEL ANITKENT YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	128 kişilik
ÖZEL ANKA CEBECİ YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Ankara	Çankaya	Erkek	190 kişilik
ÖZEL ANKA KOLEJ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Ankara	Çankaya	Erkek	141 kişilik
ÖZEL ANKARA ATA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Ankara	Çankaya	Erkek	127 kişilik
ÖZEL ANKARA BEŞTEPE YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ PANSİYONU	Ankara	Yenimahalle	Erkek	60 kişilik
ÖZEL ANKARA GAZİ MUSTAFA KEMAL YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	147 kişilik
ÖZEL ANKARA İNCESU YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Ankara	Çankaya	Erkek	125 kişilik
ÖZEL ANKARA KARAHAN YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Ankara	Yenimahalle	Kız	47 kişilik
ÖZEL ANKARA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	205 kişilik
ÖZEL ANKARA ZİRAAT YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Altındağ	Kız	55 kişilik
ÖZEL ANKA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Aydın	Efeler	Kız	199 kişilik
ÖZEL ANTALYA BİLİM ÜNİVERSİTESİ YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Antalya	Döşemealtı	Kız	271 kişilik
ÖZEL ANTALYA BÜYÜKŞEHIR BELEDIYESI YÜKSEKÖĞRENIM ERKEK ÖĞRENCI YURDU	Antalya	Kepez	Erkek	67 kişilik
ÖZEL ANTALYA BÜYÜKŞEHIR BELEDIYESI YÜKSEKÖĞRENIM KıZ ÖĞRENCI YURDU	Antalya	Kepez	Kız	122 kişilik
ÖZEL ARAL YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Aksaray	Aksaray/Merkez	Erkek	86 kişilik
ÖZEL ARAL YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Aksaray	Aksaray/Merkez	Kız	75 kişilik
ÖZEL ARAT YÜKSEKÖĞRETİM KIZ ÖĞRENCİ APARTLARI	Balıkesir	Altıeylül	Kız	40 kişilik
ÖZEL ARDES YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Erkek	496 kişilik
ÖZEL ARDES YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Kız	496 kişilik
ÖZEL ARDIÇLAR YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	Ankara	Çankaya	Erkek	129 kişilik
ÖZEL ARDIÇLAR YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU (BAHÇELİEVLER ŞUBESİ)	Ankara	Çankaya	Erkek	86 kişilik
ÖZEL ARIF AHMET DENIZOLGUN YÜKSEK ÖĞRENIM ERKEK ÖĞRENCI YURDU	Kütahya	Kütahya/Merkez	Erkek	126 kişilik
ÖZEL ARİF AHMET DENİZOLGUN YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Elazığ	Elazığ/Merkez	Erkek	194 kişilik
ÖZEL ARIFIYE YÜKSEKÖĞRENIM ERKEK ÖĞRENCI YURDU	Burdur	Gölhisar	Erkek	54 kişilik
ÖZEL ARKE YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	Konya	Karatay	Erkek	140 kişilik
ÖZEL ARLAS YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Sakarya	Serdivan	Erkek	220 kişilik
ÖZEL ARMADA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Aydın	Efeler	Erkek	120 kişilik
ÖZEL ARMADA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Samsun	Atakum	Kız	230 kişilik
ÖZEL ARMA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	155 kişilik
ÖZEL ARMONİ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ APARTLARI	İstanbul	Ataşehir	Kız	47 kişilik
ÖZEL ARNAVUTKÖY EKREM GÜREL YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Arnavutköy	Erkek	100 kişilik
ÖZEL ARYA İKİ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Aydın	Efeler	Kız	110 kişilik
ÖZEL ARYA YAŞAM YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Sakarya	Adapazarı	Kız	150 kişilik
ÖZEL ARYA YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Erkek	100 kişilik
ÖZEL ARYA YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İstanbul	Avcılar	Kız	104 kişilik
ÖZEL ARYA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Aydın	Efeler	Kız	88 kişilik
ÖZEL ARZUM YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Kütahya	Altıntaş	Kız	75 kişilik
ÖZEL ASAF ATASEVEN YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	İzmir	Buca	Erkek	127 kişilik
ÖZEL AŞANLAR YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Kütahya	Kütahya/Merkez	Erkek	99 kişilik
ÖZEL ASİL YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ PANSİYONU	Kütahya	Kütahya/Merkez	Erkek	48 kişilik
ÖZEL ASILZADE YÜKSEKÖĞRENIM KıZ ÖĞRENCI PANSIYONU	Kütahya	Kütahya/Merkez	Kız	53 kişilik
ÖZEL AŞİYAN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Erzincan	Erzincan/Merkez	Erkek	80 kişilik
ÖZEL ASUDE KONAĞI YÜKSEKÖĞRETİM KIZ ÖĞRENCİ PANSİYONU	Bolu	Bolu/Merkez	Kız	120 kişilik
ÖZEL ASUDE YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	70 kişilik
ÖZEL ASYALI YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Sakarya	Serdivan	Kız	119 kişilik
ÖZEL ATA 3 YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Kocaeli	İzmit	Kız	238 kişilik
ÖZEL ATABEY YÜKSEKÖĞRENIM ERKEK ÖĞRENCI YURDU	Ankara	Çankaya	Erkek	144 kişilik
ÖZEL ATAÇAĞ YÜKSEK ÖĞRETİM ERKEK ÖĞRENCİ YURDU	Ankara	Çankaya	Erkek	90 kişilik
ÖZEL ATA ÇARŞI YÜKSEKÖĞRETİM KIZ ÖĞRENCİ PANSİYONU	Kırklareli	Kırklareli/Merkez	Kız	120 kişilik
ÖZEL ATAGÜN KONAK VİP YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Kütahya	Kütahya/Merkez	Kız	76 kişilik
ÖZEL ATAGÜN KONAK YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Kütahya	Kütahya/Merkez	Kız	137 kişilik
ÖZEL ATAHAN YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İzmir	Bornova	Kız	1010 kişilik
ÖZEL ATAKENT FATMA AKMAN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Samsun	Atakum	Kız	130 kişilik
ÖZEL ATAKENT YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Küçükçekmece	Kız	60 kişilik
ÖZEL ATALAY 2 YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Yenimahalle	Kız	128 kişilik
ÖZEL ATALAY EMEK YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	177 kişilik
ÖZEL ATAMAN BİR YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Balıkesir	Karesi	Kız	717 kişilik
ÖZEL ATAMAN İKİ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ APARTLARI	Balıkesir	Karesi	Kız	148 kişilik
ÖZEL ATAMAN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Ataşehir	Erkek	56 kişilik
ÖZEL ATAM YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ PANSİYONU	Kütahya	Kütahya/Merkez	Erkek	48 kişilik
ÖZEL ATAŞEHİR YEDİTEPE ÜNİVERSİTESİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Ataşehir	Erkek	4457 kişilik
ÖZEL ATATEPE ÖĞRENCİ YAŞAM MERKEZLERİ BEYTEPE YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ PANSİYONU	Ankara	Çankaya	Erkek	386 kişilik
ÖZEL ATATEPE ÖĞRENCİ YAŞAM MERKEZLERİ BEYTEPE YÜKSEKÖĞRETİM KIZ ÖĞRENCİ PANSİYONU	Ankara	Çankaya	Kız	600 kişilik
ÖZEL ATATÜRK ÜNİVERSİTESİ SÜHEYLA SITKI ALP YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Erzurum	Yakutiye	Kız	224 kişilik
ÖZEL ATATÜRK YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İzmir	Karabağlar	Kız	358 kişilik
