Yurt Adı	Şehir	İlçe	Tür	Kapasite
İZMİR EFELER YURDU	İzmir	Buca	Erkek	—
İZMİR GAZİEMİR ÖĞRENCİ YURDU	İzmir	Gaziemir	Kız	0(232) 274-70-09
İZMİR KIZ ÖĞRENCİ YURDU	İzmir	Buca	Kız	0(232) 440-10-66
İZZEDDİN KEYKAVUS ÖĞRENCİ YURDU	Sivas	Sivas/Merkez	Erkek	0(346) 219-10-80
İZZETPAŞA ÖĞRENCİ YURDU	Elazığ	Elazığ/Merkez	Kız	0(424) 502-04-55
ŞAH SULTAN ÖĞRENCİ YURDU	Artvin	Artvin/Merkez	Erkek	0(466) 212-76-70
ŞAHİDİ KIZ YURDU	Muğla	Menteşe	Kız	0(252) 223-86-12
ŞAHİNBEY ÖĞRENCİ YURDU	Gaziantep	Şehitkamil	Kız	0(342) 503-68-84
ŞANLIURFA YURDU	Şanlıurfa	Haliliye	Kız	0(414) 312-99-52
ŞARKIŞLA MUHSİN YAZICIOĞLU ÖĞRENCİ YURDU	Sivas	Şarkışla	Karma	0(346) 512-20-32
ŞARKİKARAAĞAÇ ÖĞRENCİ YURDU	Isparta	Şarkikaraağaç	Karma	0(246) 411-39-60
ŞAVŞAT ÖĞRENCİ YURDU	Artvin	Şavşat	Kız	0(466) 517-10-24
ŞEBİNKARAHİSAR ÖĞRENCİ YURDU	Giresun	Şebinkarahisar	Karma	—
ŞEHZADE KORKUT ÖĞRENCİ YURDU	Antalya	Konyaaltı	Erkek	0(242) 227-30-54
ŞEHİT BURAK TOK ÖĞRENCİ YURDU	Gümüşhane	Köse	Karma	—
ŞEHİTKAMİL ÖĞRENCİ YURDU	Gaziantep	Şehitkamil	Kız	0(342) 503-66-79
ŞEMS-İ ANA ÖĞRENCİ YURDU MÜDÜRLÜĞÜ	Muğla	Menteşe	Kız	0(252) 502-17-42
ŞEMS-İ BİTLİSİ ÖĞRENCİ YURDU	Bitlis	Bitlis/Merkez	Kız	0(434) 502-42-41
ŞEMSEDDİN SAMİ ÖĞRENCİ YURDU	Kırklareli	Kırklareli/Merkez	Erkek	0(288) 214-41-80
ŞEMSEDDİN SİVÂSÎ ÖĞRENCİ YURDU	Sivas	Sivas/Merkez	Erkek	0(346) 219-11-80
ŞEREF TAŞLIOVA ÖĞRENCİ YURDU	Kars	Kars/Merkez	Kız	0(474) 225-18-45
ŞEREFLİKOÇHİSAR YURDU	Ankara	Şereflikoçhisar	Karma	0(312) 687-95-53
ŞERİFE GELİN ÖĞRENCİ YURDU	Kocaeli	İzmit	Kız	0(262) 359-10-77
ŞEYH EDEBALI ÖĞRENCİ YURDU	Bilecik	Bilecik/Merkez	Erkek	0(228) 212-04-41
ŞEYH ŞABAN-I VELİ ÖĞRENCİ YURDU	Kastamonu	Kastamonu/Merkez	Erkek	—
ŞIRNAK YURDU	Şırnak	Şırnak/Merkez	Erkek	—
ŞUHUT ÖĞRENCİ YURDU	Afyonkarahisar	Şuhut	Karma	—
ŞULE YÜKSEL ŞENLER ÖĞRENCİ YURDU	Kayseri	Talas	Kız	0(352) 503-12-70
ŞİFA HATUN ÖĞRENCİ YURDU	Şanlıurfa	Birecik	Karma	0(414) 502-24-55
ŞİRİN HATUN ÖĞRENCİ YURDU	Bursa	İnegöl	Kız	—
ŞİŞLİ ERKEK ÖĞRENCİ YURDU	İstanbul	Şişli	Erkek	0(212) 222-55-10
